ids,labels,parents
Angry,Angry,
Fearful,Fearful,
Disgusted,Disgusted,
Sad,Sad,
Happy,Happy,
Surprised,Surprised,
Bad,Bad,
Angry-Scared,Scared,Angry
Angry-Anxious,Anxious,Angry
Angry-Insecure,Insecure,Angry
Angry-Weak,Weak,Angry
Angry-Rejected,Rejected,Angry
Angry-Threatened,Threatened,Angry
Fearful-Let down,Let down,Fearful
Fearful-Humiliated,Humiliated,Fearful
Fearful-Bitter,Bitter,Fearful
Fearful-Mad,Mad,Fearful
Fearful-Aggressive,Aggressive,Fearful
Fearful-Frustrated,Frustrated,Fearful
Fearful-Distant,Distant,Fearful
Fearful-Critical,Critical,Fearful
Disgusted-Disapproving,Disapproving,Disgusted
Disgusted-Disappointed,Disappointed,Disgusted
Disgusted-Awful,Awful,Disgusted
Disgusted-Repelled,Repelled,Disgusted
Sad-Hurt,Hurt,Sad
Sad-Depressed,Depressed,Sad
Sad-Guilty,Guilty,Sad
Sad-Despair,Despair,Sad
Sad-Vulnerable,Vulnerable,Sad
Sad-Lonely,Lonely,Sad
Happy-Playful,Playful,Happy
Happy-Content,Content,Happy
Happy-Interested,Interested,Happy
Happy-Proud,Proud,Happy
Happy-Accepted,Accepted,Happy
Happy-Powerful,Powerful,Happy
Happy-Peaceful,Peaceful,Happy
Happy-Trusting,Trusting,Happy
Happy-Optimistic,Optimistic,Happy
Surprised-Startled,Startled,Surprised
Surprised-Confused,Confused,Surprised
Surprised-Amazed,Amazed,Surprised
Surprised-Excited,Excited,Surprised
Bad-Bored,Bored,Bad
Bad-Busy,Busy,Bad
Bad-Stressed,Stressed,Bad
Bad-Tired,Tired,Bad
Angry-Scared-Helpless,Helpless,Angry-Scared
Angry-Scared-Frightened,Frightened,Angry-Scared
Angry-Anxious-Overwhelmed,Overwhelmed,Angry-Anxious
Angry-Anxious-Worried,Worried,Angry-Anxious
Angry-Insecure-Inadequate,Inadequate,Angry-Insecure
Angry-Insecure-Inferior,Inferior,Angry-Insecure
Angry-Weak-Worthless,Worthless,Angry-Weak
Angry-Weak-Insignificant,Insignificant,Angry-Weak
Angry-Rejected-Excluded,Excluded,Angry-Rejected
Angry-Rejected-Persecuted,Persecuted,Angry-Rejected
Angry-Threatened-Nervous,Nervous,Angry-Threatened
Angry-Threatened-Exposed,Exposed,Angry-Threatened
Fearful-Let down-Betrayed,Betrayed,Fearful-Let down
Fearful-Let down-Resentful,Resentful,Fearful-Let down
Fearful-Humiliated-Disrespected,Disrespected,Fearful-Humiliated
Fearful-Humiliated-Ridiculed,Ridiculed,Fearful-Humiliated
Fearful-Bitter-Indignant,Indignant,Fearful-Bitter
Fearful-Bitter-Violated,Violated,Fearful-Bitter
Fearful-Mad-Furious,Furious,Fearful-Mad
Fearful-Mad-Jealous,Jealous,Fearful-Mad
Fearful-Aggressive-Provoked,Provoked,Fearful-Aggressive
Fearful-Aggressive-Hostile,Hostile,Fearful-Aggressive
Fearful-Frustrated-Infuriated,Infuriated,Fearful-Frustrated
Fearful-Frustrated-Annoyed,Annoyed,Fearful-Frustrated
Fearful-Distant-Withdrawn,Withdrawn,Fearful-Distant
Fearful-Distant-Numb,Numb,Fearful-Distant
Fearful-Critical-Skeptical,Skeptical,Fearful-Critical
Fearful-Critical-Dismissive,Dismissive,Fearful-Critical
Disgusted-Disapproving-Judgmental,Judgmental,Disgusted-Disapproving
Disgusted-Disapproving-Embarrassed,Embarrassed,Disgusted-Disapproving
Disgusted-Disappointed-Appalled,Appalled,Disgusted-Disappointed
Disgusted-Disappointed-Revolted,Revolted,Disgusted-Disappointed
Disgusted-Awful-Nauseated,Nauseated,Disgusted-Awful
Disgusted-Awful-Detestable,Detestable,Disgusted-Awful
Disgusted-Repelled-Horrified,Horrified,Disgusted-Repelled
Disgusted-Repelled-Hesitant,Hesitant,Disgusted-Repelled
Sad-Hurt-Embarrassed,Embarrassed,Sad-Hurt
Sad-Hurt-Disappointed,Disappointed,Sad-Hurt
Sad-Depressed-Inferior,Inferior,Sad-Depressed
Sad-Depressed-Empty,Empty,Sad-Depressed
Sad-Guilty-Remorseful,Remorseful,Sad-Guilty
Sad-Guilty-Ashamed,Ashamed,Sad-Guilty
Sad-Despair-Powerless,Powerless,Sad-Despair
Sad-Despair-Grief,Grief,Sad-Despair
Sad-Vulnerable-Fragile,Fragile,Sad-Vulnerable
Sad-Vulnerable-Victimised,Victimised,Sad-Vulnerable
Sad-Lonely-Abandoned,Abandoned,Sad-Lonely
Sad-Lonely-Isolated,Isolated,Sad-Lonely
Happy-Playful-Aroused,Aroused,Happy-Playful
Happy-Playful-Cheeky,Cheeky,Happy-Playful
Happy-Content-Free,Free,Happy-Content
Happy-Content-Joyful,Joyful,Happy-Content
Happy-Interested-Curious,Curious,Happy-Interested
Happy-Interested-Inquisitive,Inquisitive,Happy-Interested
Happy-Proud-Successful,Successful,Happy-Proud
Happy-Proud-Confident,Confident,Happy-Proud
Happy-Accepted-Respected,Respected,Happy-Accepted
Happy-Accepted-Valued,Valued,Happy-Accepted
Happy-Powerful-Courageous,Courageous,Happy-Powerful
Happy-Powerful-Creative,Creative,Happy-Powerful
Happy-Peaceful-Loving,Loving,Happy-Peaceful
Happy-Peaceful-Thankful,Thankful,Happy-Peaceful
Happy-Trusting-Sensitive,Sensitive,Happy-Trusting
Happy-Trusting-Intimate,Intimate,Happy-Trusting
Happy-Optimistic-Hopeful,Hopeful,Happy-Optimistic
Happy-Optimistic-Inspired,Inspired,Happy-Optimistic
Surprised-Startled-Shocked,Shocked,Surprised-Startled
Surprised-Startled-Dismayed,Dismayed,Surprised-Startled
Surprised-Confused-Disillusioned,Disillusioned,Surprised-Confused
Surprised-Confused-Perplexed,Perplexed,Surprised-Confused
Surprised-Amazed-Astonished,Astonished,Surprised-Amazed
Surprised-Amazed-Awe,Awe,Surprised-Amazed
Surprised-Excited-Eager,Eager,Surprised-Excited
Surprised-Excited-Energetic,Energetic,Surprised-Excited
Bad-Bored-Indifferent,Indifferent,Bad-Bored
Bad-Bored-Apathetic,Apathetic,Bad-Bored
Bad-Busy-Pressured,Pressured,Bad-Busy
Bad-Busy-Rushed,Rushed,Bad-Busy
Bad-Stressed-Overwhelmed,Overwhelmed,Bad-Stressed
Bad-Stressed-Out of control,Out of control,Bad-Stressed
Bad-Tired-Sleepy,Sleepy,Bad-Tired
Bad-Tired-Unfocused,Unfocused,Bad-Tired